0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"Calhoun,AL",0.7408,0,11.2076,0,0,1.8188,0.3499,3.6967,0.8607,2.71836.7865,5.4531,0.77884.1539,0,0,9.0455,1,0,1,0.0351,3.2671,0.9615,0,0,3.7183,7.41813.7183,7.2373,57.1239,0,0,1.1989,0.2592,0.14230.2592,3.7183,2.7183,0,2.7183,3.9798,2.7183,0.7408,2.7183,0.00241.1094,0,0,1.5488
"Callaway,MO",0,0.2592,0,0,0,0,0.9048,0,0,0,0,0,0,0,0,10.4648,0,0.7047,0.0429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,0,0
"Calvert,MD",0,0.2865,0,2.7183,0,0.0743,2.7183,0,0,1.0075,0.9599,1.8061,0.9512,0,0.0052,0.9512,0.9048,0,1.2215,0,0.2725,0,0,0,134.3044,0.8607,0.1423,0,0,0,0.522,0,0.4981,0.1054,0,0,0.7047,1,0,2.7166,0,0,0,0.0044
"Camden,NJ",0,11.4835,12.4181,0.3499,10.1287,100,1,0.4724,0.9048,22.3676,0.6376,11.90251,0.5268,0,0.8187,1,324.9179,0,0.0287,0.0117,0,0,0,0,0.90482.71830,10,0,0.9048,0,0.4966,0,0.1003,1.3867,0.9933,3.3248,3.3248,0.6376,0.5220.0030,0,26.5507,2.7183,0,1,0.0821
"Cameron,TX",2.2624,0.4724,6.2325,0.2122,2.0303,6.1903,0,9.9703,3.6181,3.3117,570.7339,5.6467,4.9243,2.5114,5.423,4.6023,0,1.8194,4.5356,0.7047,0.5488,1.7419,1.6065,0.7064,3.579,1.8588,1.5196,7.8759,0,33.4051,3.0682,3.2403,0.9513,2.8407,3.9288,3.8657,8.1364,3.7188,1.8526,2.3254,6.6048,3.105,597.4315,3.6231
"Camp,TX",1,0,0.4493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9529,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campbell,KY",0,0,0,0,0,0,0,0,0,0,0.8607,0,0,0,0,0.9512,0,0,0,0,0,0,0,0.4274,0.0821,0,0,0,0,0,0.8607,0,0,0,0,0,0,0,0.4966,0,0,0,0,0
"Carbon,PA",0,0,0,0,0,0,0,0,0,0,0,0,0,4.3021,0,1.1858,0,0,0,0,0,0,0,0,0.0011,0,0,0,2.914,0,0,0,0,0,0,0,0,0,0,0,0,2.7456,0,0.2019
"Carroll,MD",0,0,1,0,0,0,0,0,0,0,17.4951,0.8607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8607,0,0,0,0,0,0,0,0,0,0,0,0,5.5768,0
"Cass,MO",0,0,0,0,3.9515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707,0,0.0707,0.8607,0,0,0,0,0,0,0
"Champaign,IL",0,0,0,0,0,0.3867,0,0.0707,0,2.7183,0,0.0017,86.8097,0,0,0,0,0,0.6065,0,0,0,0,3.8953,0,0,0,0,0,0.7788,0,0,0,0.8187,0,0,2.0419,0,0.0498,0,0,1,0,0
"Charles,MD",0,0.0001,2.7183,0.1496,0,0,1,1.338,0,0,3.4591,0,0,0,0,0.9048,0,0.0043,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0,0,0,0,0.7408,0,0,0,0,0,0,0
"Charlevoix,MI",2.7183,0,2.6703,0,1,0,0,1.73,0,0.9512,1.3329,12.975,1.1653,0,0,2,0.3012,1.4274,0.4724,0,0,0.6703,0.7408,0.4493,0.0021,0,0,0,0,0.8607,0,0,0,29.2941,24.0951,39.1184,4.579,0.1423,0,0,0,0,0,0
"Chatham,GA",0,0,0,0,0,0,0,0,0,0,0,0.9512,0,0,0,0,0,14.2486,0,0,0,0,0,2.7183,0,0,0,0,0,0.0224,0,0,0,0,0,0,1,0,0,0,0,0,0,0
